Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,2,0,400000,658,92007,92665,92665,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F1,P1_2,2,400000,800000,658,465235,465893,65893,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F1,P1_3,8,800000,1200000,658,888291,888949,88949,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F10,P10_1,1,0,400000,600,138921,139521,139521,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F10,P10_2,1,400000,800000,600,480228,480828,80828,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F10,P10_3,8,800000,1200000,600,891143,891743,91743,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F11,P11_1,3,0,400000,600,131100,131700,131700,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F11,P11_2,3,400000,800000,600,500335,500935,100935,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F11,P11_3,8,800000,1200000,600,891839,892439,92439,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F12,P12_1,2,0,400000,3001,87002,90003,90003,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F12,P12_2,2,400000,800000,3001,428000,431001,31001,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F12,P12_3,8,800000,1200000,3001,866990,869991,69991,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F13,P13_1,2,0,50000,603,0,603,603,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F13,P13_2,2,50000,100000,603,99397,100000,50000,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F13,P13_3,8,100000,150000,603,149397,150000,50000,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F13,P13_4,2,150000,200000,603,197407,198010,48010,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F13,P13_5,2,200000,250000,603,202247,202850,2850,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
F13,P13_6,8,250000,300000,603,251990,252593,2593,Scheduled - Deadline Met,Yes,Yes,23.519816160202026,0.3919969360033671,2,77.0,Proven Optimal (Gap = 0%)
