Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,4,0,200000,602,77801.0,78403.0,78403.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_2,4,200000,400000,602,262258.0,262860.0,62860.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_3,8,400000,600000,602,516900.0,517502.0,117502.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_4,4,600000,800000,602,636389.0,636991.0,36991.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_5,4,800000,1000000,602,866128.0,866730.0,66730.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_6,8,1000000,1200000,602,1160007.0,1160609.0,160609.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_7,4,1200000,1400000,602,1254396.0,1254998.0,54998.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_8,4,1400000,1600000,602,1410100.0,1410702.0,10702.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_9,8,1600000,1800000,602,1690279.0,1690881.0,90881.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_10,4,1800000,2000000,602,1893492.0,1894094.0,94094.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_11,4,2000000,2200000,602,2016883.0,2017485.0,17485.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F1,P1_12,8,2200000,2400000,602,2350631.0,2351233.0,151233.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F10,P10_1,3,0,800000,5249,154613.0,159862.0,159862.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F10,P10_2,3,800000,1600000,5249,947801.0,953050.0,153050.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F10,P10_3,8,1600000,2400000,5249,1721123.0,1726372.0,126372.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F11,P11_1,4,0,800000,11393,181167.0,192560.0,192560.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F11,P11_2,4,800000,1600000,11393,889256.0,900649.0,100649.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F11,P11_3,8,1600000,2400000,11393,,,,BE - Not Scheduled,No,N/A,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_1,4,0,200000,10004,63703.0,73707.0,73707.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_2,4,200000,400000,10004,224857.0,234861.0,34861.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_3,8,400000,600000,10004,479907.0,489911.0,89911.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_4,4,600000,800000,10004,622631.0,632635.0,32635.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_5,4,800000,1000000,10004,848175.0,858179.0,58179.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_6,8,1000000,1200000,10004,1123141.0,1133145.0,133145.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_7,4,1200000,1400000,10004,1244296.0,1254300.0,54300.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_8,4,1400000,1600000,10004,1400000.0,1410004.0,10004.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_9,8,1600000,1800000,10004,1653413.0,1663417.0,63417.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_10,4,1800000,2000000,10004,1875699.0,1885703.0,85703.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_11,4,2000000,2200000,10004,2006783.0,2016787.0,16787.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F12,P12_12,8,2200000,2400000,10004,2313765.0,2323769.0,123769.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_1,3,0,100000,2819,82480.0,85299.0,85299.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_2,3,100000,200000,2819,189900.0,192719.0,92719.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_3,8,200000,300000,2819,292390.0,295209.0,95209.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_4,3,300000,400000,2819,342659.0,345478.0,45478.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_5,3,400000,500000,2819,457932.0,460751.0,60751.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_6,8,500000,600000,2819,566601.0,569420.0,69420.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_7,3,600000,700000,2819,648681.0,651500.0,51500.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_8,3,700000,800000,2819,780910.0,783729.0,83729.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_9,8,800000,900000,2819,870019.0,872838.0,72838.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_10,3,900000,1000000,2819,995099.0,997918.0,97918.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_11,3,1000000,1100000,2819,1034225.0,1037044.0,37044.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_12,8,1100000,1200000,2819,1190139.0,1192958.0,92958.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_13,3,1200000,1300000,2819,1296521.0,1299340.0,99340.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_14,3,1300000,1400000,2819,1397181.0,1400000.0,100000.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_15,8,1400000,1500000,2819,1455613.0,1458432.0,58432.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_16,3,1500000,1600000,2819,1531032.0,1533851.0,33851.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_17,3,1600000,1700000,2819,1638775.0,1641594.0,41594.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_18,8,1700000,1800000,2819,1792390.0,1795209.0,95209.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_19,3,1800000,1900000,2819,1872784.0,1875603.0,75603.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_20,3,1900000,2000000,2819,1995195.0,1998014.0,98014.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_21,8,2000000,2100000,2819,2077290.0,2080109.0,80109.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_22,3,2100000,2200000,2819,2134225.0,2137044.0,37044.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_23,3,2200000,2300000,2819,2290859.0,2293678.0,93678.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F13,P13_24,8,2300000,2400000,2819,2380763.0,2383582.0,83582.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_1,3,0,200000,11627,97002.0,108629.0,108629.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_2,3,200000,400000,11627,213134.0,224761.0,24761.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_3,8,400000,600000,11627,468184.0,479811.0,79811.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_4,3,600000,800000,11627,654721.0,666348.0,66348.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_5,3,800000,1000000,11627,904756.0,916383.0,116383.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_6,8,1000000,1200000,11627,1111418.0,1123045.0,123045.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_7,3,1200000,1400000,11627,1302561.0,1314188.0,114188.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_8,3,1400000,1600000,11627,1410798.0,1422425.0,22425.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_9,8,1600000,1800000,11627,1641690.0,1653317.0,53317.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
F14,P14_10,3,1800000,2000000,11627,1901283.0,1912910.0,112910.0,Scheduled - Deadline Met,Yes,Yes,536.1897060871124,8.936495101451873,2,149.0,Proven Optimal (Gap = 0%)
