Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,10877,1,2,0.02719178115464127,0.0271925,7.188453587311794e-07,4,3
F2,400000,400000,3965,1,2,0.009912421175774067,0.0099125,7.882422593287475e-08,3,3
F3,400000,400000,6815,1,2,0.0170381087267647,0.0170375,6.087267646996686e-07,4,3
F4,400000,400000,2551,1,2,0.00637855975251489,0.0063775,1.0597525148892464e-06,5,3
F5,100000,100000,5365,1,2,0.05364847917094384,0.05365,1.5208290561619098e-06,6,12
F6,400000,400000,1252,1,2,0.003129642471284333,0.00313,3.575287156670423e-07,5,3
F7,400000,400000,4197,1,2,0.010493519912819993,0.0104925,1.019912819992877e-06,6,3
F8,400000,400000,2485,1,2,0.006211364216837878,0.0062125,1.1357831621221573e-06,3,3
F9,400000,400000,2663,1,2,0.0066574996353527816,0.0066575,3.646472186702443e-10,1,3
F10,400000,400000,9860,1,2,0.02465020235070925,0.02465,2.0235070925106458e-07,4,3
F11,400000,400000,1647,1,2,0.004117790017747591,0.0041175,2.9001774759160326e-07,1,3
F12,400000,400000,3725,1,2,0.009312970756735872,0.0093125,4.7075673587256006e-07,5,3
F13,200000,200000,2189,1,2,0.010945478043892898,0.010945,4.780438928979336e-07,5,6
F14,400000,400000,10393,1,2,0.02598258378415752,0.0259825,8.378415752158253e-08,6,3
F15,400000,400000,10855,1,2,0.02713790228845936,0.0271375,4.0228845936060575e-07,5,3
F16,400000,400000,3717,1,2,0.00929323839022489,0.0092925,7.383902248889879e-07,4,3
F17,400000,400000,600,1,2,0.0009816938642176476,0.0015,0.0005183061357823524,4,3
F18,200000,200000,1732,1,2,0.00865911615733328,0.00866,8.838426667195226e-07,6,6
F19,200000,200000,968,1,2,0.004840311468547354,0.00484,3.114685473539283e-07,6,6
F20,400000,400000,600,1,2,0.001060556399798629,0.0015,0.0004394436002013711,6,3
F21,400000,400000,1723,1,2,0.004307071168317522,0.0043075,4.28831682477461e-07,4,3
F22,400000,400000,3963,1,2,0.009906610334089905,0.0099075,8.896659100948723e-07,1,3
F23,200000,200000,1221,1,2,0.006105917798387317,0.006105,9.177983873167803e-07,7,6
F24,200000,200000,5551,1,2,0.027754209732712032,0.027755,7.902672879665784e-07,6,6
F25,400000,400000,9819,1,2,0.02454628938442527,0.0245475,1.2106155747315661e-06,6,3
F26,400000,400000,5931,1,2,0.014828074992198625,0.0148275,5.749921986250572e-07,5,3
F27,200000,200000,4502,1,2,0.022509176616379467,0.02251,8.233836205316647e-07,5,6
F28,200000,200000,1563,1,2,0.007815922507092787,0.007815,9.225070927865869e-07,7,6
F29,200000,200000,6949,1,2,0.034747173248015406,0.034745,2.173248015407969e-06,6,6
F30,200000,200000,6332,1,2,0.031659643767521395,0.03166,3.56232478605778e-07,4,6
F31,400000,400000,1515,1,2,0.003788389054687591,0.0037875,8.890546875908387e-07,2,3
F32,400000,400000,10055,1,2,0.02513811083770129,0.0251375,6.108377012883914e-07,4,3
F33,400000,400000,11262,1,2,0.028156206646431925,0.028155,1.2066464319254733e-06,5,3
F34,400000,400000,1172,1,2,0.0029306275974654294,0.00293,6.27597465429567e-07,1,3
F35,400000,400000,4691,1,2,0.011728010385098409,0.0117275,5.10385098408464e-07,3,3
F36,100000,100000,7692,1,2,0.07692001285884748,0.07692,1.2858847472929646e-08,5,12
F37,400000,400000,11571,1,2,0.028928581524145264,0.0289275,1.0815241452653834e-06,6,3
F38,200000,200000,6607,1,2,0.03303487272702463,0.033035,1.2727297537401538e-07,5,6
F39,400000,400000,4477,1,2,0.011191601404259288,0.0111925,8.985957407111472e-07,1,3
F40,400000,400000,10015,1,2,0.025037406318557026,0.0250375,9.36814429745858e-08,5,3
F41,100000,100000,4873,1,2,0.048731325280811894,0.04873,1.3252808118910386e-06,4,12
F42,400000,400000,6268,1,2,0.01566950966318835,0.01567,4.903368116503104e-07,6,3
F43,400000,400000,2683,1,2,0.006706929239283774,0.0067075,5.707607162262068e-07,3,3
F44,400000,400000,5559,1,2,0.013897321301260382,0.0138975,1.7869873961823268e-07,6,3
F45,400000,400000,4859,1,2,0.012146848429588443,0.0121475,6.515704115573479e-07,4,3
F46,400000,400000,5173,1,2,0.01293215911204985,0.0129325,3.408879501488882e-07,7,3
F47,400000,400000,4363,1,2,0.010907672170744466,0.0109075,1.7217074446511382e-07,4,3
F48,400000,400000,4186,1,2,0.010465246760100006,0.010465,2.46760100006127e-07,7,3
