Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,6,0,100000,3049,2973.0,6022.0,6022.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_2,6,100000,200000,3049,156480.0,159529.0,59529.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_3,8,200000,300000,3049,237703.0,240752.0,40752.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_4,6,300000,400000,3049,341588.0,344637.0,44637.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_5,6,400000,500000,3049,428783.0,431832.0,31832.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_6,8,500000,600000,3049,574636.0,577685.0,77685.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_7,6,600000,700000,3049,619658.0,622707.0,22707.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_8,6,700000,800000,3049,726744.0,729793.0,29793.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_9,8,800000,900000,3049,816768.0,819817.0,19817.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_10,6,900000,1000000,3049,934814.0,937863.0,37863.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_11,6,1000000,1100000,3049,1032168.0,1035217.0,35217.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_12,8,1100000,1200000,3049,1169994.0,1173043.0,73043.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_13,6,1200000,1300000,3049,1211315.0,1214364.0,14364.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_14,6,1300000,1400000,3049,1354682.0,1357731.0,57731.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_15,8,1400000,1500000,3049,1438404.0,1441453.0,41453.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_16,6,1500000,1600000,3049,1542827.0,1545876.0,45876.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_17,6,1600000,1700000,3049,1622552.0,1625601.0,25601.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_18,8,1700000,1800000,3049,1763633.0,1766682.0,66682.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_19,6,1800000,1900000,3049,1811315.0,1814364.0,14364.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_20,6,1900000,2000000,3049,1976623.0,1979672.0,79672.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_21,8,2000000,2100000,3049,2022098.0,2025147.0,25147.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_22,6,2100000,2200000,3049,2179147.0,2182196.0,82196.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_23,6,2200000,2300000,3049,2244069.0,2247118.0,47118.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F1,P1_24,8,2300000,2400000,3049,2371800.0,2374849.0,74849.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F10,P10_1,3,0,400000,6135,93010.0,99145.0,99145.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F10,P10_2,3,400000,800000,6135,422552.0,428687.0,28687.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F10,P10_3,8,800000,1200000,6135,819913.0,826048.0,26048.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F10,P10_4,3,1200000,1600000,6135,1354618.0,1360753.0,160753.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F10,P10_5,3,1600000,2000000,6135,1638350.0,1644485.0,44485.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F10,P10_6,8,2000000,2400000,6135,,,,BE - Not Scheduled,No,N/A,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_1,5,0,200000,11391,77399.0,88790.0,88790.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_2,5,200000,400000,11391,320810.0,332201.0,132201.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_3,8,400000,600000,11391,,,,BE - Not Scheduled,No,N/A,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_4,5,600000,800000,11391,642001.0,653392.0,53392.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_5,5,800000,1000000,11391,938313.0,949704.0,149704.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_6,8,1000000,1200000,11391,,,,BE - Not Scheduled,No,N/A,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_7,5,1200000,1400000,11391,1243207.0,1254598.0,54598.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_8,5,1400000,1600000,11391,1529971.0,1541362.0,141362.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_9,8,1600000,1800000,11391,,,,BE - Not Scheduled,No,N/A,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_10,5,1800000,2000000,11391,1843222.0,1854613.0,54613.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_11,5,2000000,2200000,11391,2118453.0,2129844.0,129844.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F11,P11_12,8,2200000,2400000,11391,,,,BE - Not Scheduled,No,N/A,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
F12,P12_1,6,0,400000,600,139081.0,139681.0,139681.0,Scheduled - Deadline Met,Yes,Yes,3601.092520713806,60.01820867856343,9,203.0,Gurobi Status: 9
