Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,2,0,400000,2875,99374.0,102249.0,102249.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F1,P1_2,2,400000,800000,2875,462405.0,465280.0,65280.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F1,P1_3,8,800000,1200000,2875,851955.0,854830.0,54830.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F1,P1_4,2,1200000,1600000,2875,1278547.0,1281422.0,81422.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F1,P1_5,2,1600000,2000000,2875,1616174.0,1619049.0,19049.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F1,P1_6,8,2000000,2400000,2875,,,,BE - Not Scheduled,No,N/A,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F10,P10_1,5,0,400000,600,89088.0,89688.0,89688.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F10,P10_2,5,400000,800000,600,460210.0,460810.0,60810.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F10,P10_3,8,800000,1200000,600,866853.0,867453.0,67453.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F10,P10_4,5,1200000,1600000,600,1269577.0,1270177.0,70177.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F10,P10_5,5,1600000,2000000,600,1666389.0,1666989.0,66989.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F10,P10_6,8,2000000,2400000,600,2087508.0,2088108.0,88108.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_1,1,0,200000,5890,105430.0,111320.0,111320.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_2,1,200000,400000,5890,318944.0,324834.0,124834.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_3,8,400000,600000,5890,,,,BE - Not Scheduled,No,N/A,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_4,1,600000,800000,5890,706323.0,712213.0,112213.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_5,1,800000,1000000,5890,800000.0,805890.0,5890.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_6,8,1000000,1200000,5890,1122204.0,1128094.0,128094.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_7,1,1200000,1400000,5890,1217425.0,1223315.0,23315.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_8,1,1400000,1600000,5890,1487274.0,1493164.0,93164.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_9,8,1600000,1800000,5890,1694714.0,1700604.0,100604.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_10,1,1800000,2000000,5890,1877847.0,1883737.0,83737.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_11,1,2000000,2200000,5890,2101237.0,2107127.0,107127.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F11,P11_12,8,2200000,2400000,5890,2301878.0,2307768.0,107768.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F12,P12_1,2,0,400000,1857,209501.0,211358.0,211358.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F12,P12_2,2,400000,800000,1857,465376.0,467233.0,67233.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F12,P12_3,8,800000,1200000,1857,857095.0,858952.0,58952.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F12,P12_4,2,1200000,1600000,1857,1306436.0,1308293.0,108293.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F12,P12_5,2,1600000,2000000,1857,1842291.0,1844148.0,244148.0,Scheduled - Deadline Met,Yes,Yes,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
F12,P12_6,8,2000000,2400000,1857,,,,BE - Not Scheduled,No,N/A,3600.691339969635,60.01152233282725,9,12274.0,Gurobi Status: 9
