Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,7,0,400000,9587,79728.0,89315.0,89315.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F1,P1_2,7,400000,800000,9587,454042.0,463629.0,63629.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F1,P1_3,8,800000,1200000,9587,,,,BE - Not Scheduled,No,N/A,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F10,P10_1,4,0,400000,600,119975.0,120575.0,120575.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F10,P10_2,4,400000,800000,600,560376.0,560976.0,160976.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F10,P10_3,8,800000,1200000,600,887539.0,888139.0,88139.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F11,P11_1,6,0,400000,2931,72803.0,75734.0,75734.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F11,P11_2,6,400000,800000,2931,444732.0,447663.0,47663.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F11,P11_3,8,800000,1200000,2931,858321.0,861252.0,61252.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F12,P12_1,3,0,200000,1103,21831.0,22934.0,22934.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F12,P12_2,3,200000,400000,1103,364295.0,365398.0,165398.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
