Flow,Packet,Class,Arrival,Deadline,Execution_Time,Gate_Open,Gate_Close,Response_Time,Status,Scheduled,Deadline_Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,5,0,400000,9709,82802,92511,92511,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F1,P1_2,5,400000,800000,9709,429953,439662,39662,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F1,P1_3,5,800000,1200000,9709,853119,862828,62828,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F10,P10_1,1,0,400000,9635,133340,142975,142975,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F10,P10_2,1,400000,800000,9635,533340,542975,142975,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F10,P10_3,1,800000,1200000,9635,933340,942975,142975,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F11,P11_1,2,0,400000,2174,193716,195890,195890,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F11,P11_2,2,400000,800000,2174,593716,595890,195890,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F11,P11_3,2,800000,1200000,2174,993716,995890,195890,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F12,P12_1,5,0,200000,3555,10555,14110,14110,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F12,P12_2,5,200000,400000,3555,230982,234537,34537,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F12,P12_3,5,400000,600000,3555,410555,414110,14110,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F12,P12_4,5,600000,800000,3555,630982,634537,34537,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F12,P12_5,5,800000,1000000,3555,810555,814110,14110,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F12,P12_6,5,1000000,1200000,3555,1030982,1034537,34537,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F13,P13_1,4,0,200000,9497,52987,62484,62484,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F13,P13_2,4,200000,400000,9497,234633,244130,44130,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F13,P13_3,4,400000,600000,9497,444370,453867,53867,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F13,P13_4,4,600000,800000,9497,634633,644130,44130,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F13,P13_5,4,800000,1000000,9497,829953,839450,39450,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F13,P13_6,4,1000000,1200000,9497,1034633,1044130,44130,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F14,P14_1,1,0,400000,1058,157148,158206,158206,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F14,P14_2,1,400000,800000,1058,557148,558206,158206,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F14,P14_3,1,800000,1200000,1058,957148,958206,158206,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F15,P15_1,1,0,400000,4554,149869,154423,154423,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F15,P15_2,1,400000,800000,4554,549869,554423,154423,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F15,P15_3,1,800000,1200000,4554,949869,954423,154423,Scheduled - Deadline Met,Yes,Yes,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
F16,P16_1,7,0,200000,8165,195986,204151,204151,Scheduled - Deadline Missed,Yes,No,2700.1119549274445,45.00186591545741,Time Limit Exceeded,21227605.0,Gurobi Status: 9
