Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,1945,1,2,0.004863200716685001,0.0048625,,1
F2,200000,200000,6836,1,2,0.03418102993717853,0.03418,,3
F3,400000,400000,600,1,2,0.0002646132285789582,0.0015,,8
F4,100000,100000,3422,1,2,0.0342213753891325,0.03422,,6
F5,400000,400000,3307,1,2,0.008267464776614886,0.0082675,,1
F6,400000,400000,8923,1,2,0.02230854505211677,0.0223075,,7
F7,400000,400000,600,1,2,0.0014356795190921812,0.0015,,3
F8,400000,400000,1967,1,2,0.004917002186081931,0.0049175,,3
F9,400000,400000,5644,1,2,0.014109502119418749,0.01411,,5
F10,200000,200000,10560,1,2,0.05280069720897107,0.0528,,5
F11,200000,200000,2502,1,2,0.01251078817454132,0.01251,,3
F12,200000,200000,2255,1,2,0.011274195557170685,0.011275,,7
F13,200000,200000,7847,1,2,0.03923652033591429,0.039235,,6
F14,400000,400000,10265,1,2,0.02566296164262305,0.0256625,,5
F15,200000,200000,1768,1,2,0.008840695829318013,0.00884,,8
F16,200000,200000,9324,1,2,0.04661957010334994,0.04662,,5
F17,200000,200000,6935,1,2,0.03467368049299413,0.034675,,5
F18,200000,200000,7744,1,2,0.03871987454262926,0.03872,,7
F19,200000,200000,11365,1,2,0.0568237973118394,0.056825,,5
F20,400000,400000,10791,1,2,0.026978702335968552,0.0269775,,1
F21,200000,200000,10033,1,2,0.050164523216589096,0.050165,,6
F22,400000,400000,1163,1,2,0.0029084758314577575,0.0029075,,2
F23,200000,200000,7407,1,2,0.0370328302243772,0.037035,,8
F24,200000,200000,2302,1,2,0.011509667741620266,0.01151,,6
F25,400000,400000,600,1,2,0.0007273361323429928,0.0015,,7
F26,100000,100000,642,1,2,0.006419257003197065,0.00642,,2
F27,200000,200000,3618,1,2,0.01809069067978547,0.01809,,3
F28,400000,400000,1312,1,2,0.0032796781521238216,0.00328,,4
F29,400000,400000,6091,1,2,0.015226739652786203,0.0152275,,4
F30,400000,400000,5673,1,2,0.014183256164822355,0.0141825,,2
F31,200000,200000,639,1,2,0.0031952319625750403,0.003195,,7
F32,400000,400000,4536,1,2,0.011340526514149851,0.01134,,4
F33,400000,400000,1911,1,2,0.004776299118832428,0.0047775,,6
F34,400000,400000,11889,1,2,0.02972265080386033,0.0297225,,4
F35,200000,200000,9345,1,2,0.04672361907766964,0.046725,,7
F36,400000,400000,9121,1,2,0.022802477275333133,0.0228025,,6
F37,200000,200000,6156,1,2,0.030780311224087364,0.03078,,8
F38,400000,400000,613,1,2,0.0015336862964083764,0.0015325,,4
F39,400000,400000,5782,1,2,0.014455544745241633,0.014455,,1
F40,400000,400000,2454,1,2,0.006134119741340788,0.006135,,5
F41,400000,400000,6627,1,2,0.016566698426411314,0.0165675,,8
F42,400000,400000,1985,1,2,0.004963586201598286,0.0049625,,8
F43,400000,400000,600,1,2,0.0006251105372029331,0.0015,,1
F44,200000,200000,6271,1,2,0.031352775594158694,0.031355,,7
F45,100000,100000,6095,1,2,0.06094614182423531,0.06095,,5
F46,400000,400000,600,1,2,0.001264114607328691,0.0015,,6
F47,400000,400000,1082,1,2,0.0027052415215488776,0.002705,,5
F48,200000,200000,11225,1,2,0.05612344891275065,0.056125,,5
