Flow,Packet,Class,Arrival,Deadline,Execution_Time,Gate_Open,Gate_Close,Response_Time,Status,Scheduled,Deadline_Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,2,0,400000,2794,125567,128361,128361,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F1,P1_2,2,400000,800000,2794,525567,528361,128361,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F1,P1_3,2,800000,1200000,2794,925567,928361,128361,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F10,P10_1,4,0,400000,6546,29825,36371,36371,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F10,P10_2,4,400000,800000,6546,429825,436371,36371,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F10,P10_3,4,800000,1200000,6546,829825,836371,36371,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F11,P11_1,4,0,400000,1001,95949,96950,96950,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F11,P11_2,4,400000,800000,1001,495949,496950,96950,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F11,P11_3,4,800000,1200000,1001,895949,896950,96950,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F12,P12_1,3,0,200000,1089,14997,16086,16086,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F12,P12_2,3,200000,400000,1089,212554,213643,13643,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F12,P12_3,3,400000,600000,1089,414997,416086,16086,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F12,P12_4,3,600000,800000,1089,612554,613643,13643,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F12,P12_5,3,800000,1000000,1089,814997,816086,16086,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F12,P12_6,3,1000000,1200000,1089,1012554,1013643,13643,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F13,P13_1,6,0,400000,3933,71656,75589,75589,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F13,P13_2,6,400000,800000,3933,471656,475589,75589,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F13,P13_3,6,800000,1200000,3933,871656,875589,75589,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F14,P14_1,7,0,400000,5633,16182,21815,21815,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
F14,P14_2,7,400000,800000,5633,416182,421815,21815,Scheduled - Deadline Met,Yes,Yes,14.858320713043213,0.24763867855072022,Solution Limit Exceeded,13674136.0,Gurobi Status: 10
