Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,3,0,400000,5182,123701.0,128883.0,128883.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F1,P1_2,8,400000,800000,5182,459973.0,465155.0,65155.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_1,7,0,100000,11363,14768.0,26131.0,26131.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_2,8,100000,200000,11363,,,,BE - Not Scheduled,No,N/A,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_3,7,200000,300000,11363,239143.0,250506.0,50506.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_4,8,300000,400000,11363,350096.0,361459.0,61459.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_5,7,400000,500000,11363,400000.0,411363.0,11363.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_6,8,500000,600000,11363,,,,BE - Not Scheduled,No,N/A,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_7,7,600000,700000,11363,610380.0,621743.0,21743.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F10,P10_8,8,700000,800000,11363,752123.0,763486.0,63486.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F11,P11_1,1,0,400000,1122,266050.0,267172.0,267172.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F11,P11_2,8,400000,800000,1122,489228.0,490350.0,90350.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F12,P12_1,4,0,400000,5843,53169.0,59012.0,59012.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F12,P12_2,8,400000,800000,5843,448268.0,454111.0,54111.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F13,P13_1,7,0,200000,7195,148174.0,155369.0,155369.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F13,P13_2,8,200000,400000,7195,279428.0,286623.0,86623.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F13,P13_3,7,400000,600000,7195,553748.0,560943.0,160943.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F13,P13_4,8,600000,800000,7195,680358.0,687553.0,87553.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F14,P14_1,7,0,200000,6104,161723.0,167827.0,167827.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F14,P14_2,8,200000,400000,6104,307525.0,313629.0,113629.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F14,P14_3,7,400000,600000,6104,564834.0,570938.0,170938.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F14,P14_4,8,600000,800000,6104,708455.0,714559.0,114559.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F15,P15_1,1,0,400000,6001,259953.0,265954.0,265954.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F15,P15_2,8,400000,800000,6001,442171.0,448172.0,48172.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_1,3,0,100000,3649,0.0,3649.0,3649.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_2,8,100000,200000,3649,184729.0,188378.0,88378.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_3,3,200000,300000,3649,222369.0,226018.0,26018.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_4,8,300000,400000,3649,372555.0,376204.0,76204.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_5,3,400000,500000,3649,415083.0,418732.0,18732.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_6,8,500000,600000,3649,584962.0,588611.0,88611.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_7,3,600000,700000,3649,621839.0,625488.0,25488.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F16,P16_8,8,700000,800000,3649,774582.0,778231.0,78231.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F17,P17_1,3,0,200000,6403,34745.0,41148.0,41148.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F17,P17_2,8,200000,400000,6403,301026.0,307429.0,107429.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F17,P17_3,3,400000,600000,6403,506639.0,513042.0,113042.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F17,P17_4,8,600000,800000,6403,701956.0,708359.0,108359.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F18,P18_1,5,0,400000,5061,137466.0,142527.0,142527.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F18,P18_2,8,400000,800000,5061,,,,BE - Not Scheduled,No,N/A,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F19,P19_1,1,0,200000,834,45039.0,45873.0,45873.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F19,P19_2,8,200000,400000,834,336832.0,337666.0,137666.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F19,P19_3,1,400000,600000,834,533229.0,534063.0,134063.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F19,P19_4,8,600000,800000,834,750096.0,750930.0,150930.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F2,P2_1,3,0,400000,9381,86106.0,95487.0,95487.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F2,P2_2,8,400000,800000,9381,,,,BE - Not Scheduled,No,N/A,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
F20,P20_1,2,0,400000,1849,234950.0,236799.0,236799.0,Scheduled - Deadline Met,Yes,Yes,1363.4516365528107,22.724193942546844,11,81.0,Gap Stable for 10 Checks
