No.,Time,Flow,Packet,Class,Arrival,Period,Deadline,Finish Time,Response Time(Finish-Arrival),R/P
1,0,F12,P12_1,7,0,1000000,1000000,0,0,0.08
2,0.250262,F11,P11_1,4,0,2000000,2000000,250262,250262,0.125131
3,0.500515,F6,P6_1,5,0,2000000,2000000,500515,500515,0.2502575
4,0.750776,F7,P7_1,4,0,8000000,8000000,750776,750776,0.093847
5,0.874388,F13,P13_1,3,0,2000000,2000000,874388,874388,0.437194
6,1.124632,F4,P4_1,6,0,2000000,2000000,1124632,1124632,0.562316
7,1.374859,F2,P2_1,2,0,4000000,4000000,1374859,1374859,0.34371475
8,1.500106,F14,P14_1,7,0,8000000,8000000,1500106,1500106,0.18751325
9,1.625331,F1,P1_1,1,0,4000000,4000000,1625331,1625331,0.40633275
10,1.751352,F12,P12_2,7,1000000,1000000,2000000,1751352,751352,0.751352
11,1.87574,F9,P9_1,6,0,4000000,4000000,1875740,1875740,0.468935
12,2.125994,F4,P4_2,6,2000000,2000000,4000000,2125994,125994,0.062997
13,2.12604,F5,P5_1,5,0,8000000,8000000,2126040,2126040,0.265755
14,2.376263,F10,P10_1,5,0,16000000,16000000,2376263,2376263,0.148516438
15,2.438987,F16,P16_1,4,0,16000000,16000000,2438987,2438987,0.152436688
16,2.501802,F13,P13_2,3,2000000,2000000,4000000,2501802,501802,0.250901
17,2.564327,F3,P3_1,1,0,8000000,8000000,2564327,2564327,0.320540875
18,2.68957,F15,P15_1,1,0,16000000,16000000,2689570,2689570,0.168098125
19,2.752306,F12,P12_3,8,2000000,1000000,3000000,2752306,752306,0.752306
20,3.252464,F11,P11_2,4,2000000,2000000,4000000,3252464,1252464,0.626232
21,3.25251,F8,P8_1,2,0,16000000,16000000,3252510,3252510,0.203281875
22,3.502741,F6,P6_2,5,2000000,2000000,4000000,3502741,1502741,0.7513705
23,3.752982,F12,P12_4,7,3000000,1000000,4000000,3752982,752982,0.752982
24,4.003215,F9,P9_2,6,4000000,4000000,8000000,4003215,3215,0.00080375
25,4.253452,F12,P12_5,7,4000000,1000000,5000000,4253452,253452,0.253452
26,4.503675,F4,P4_3,8,4000000,2000000,6000000,4503675,503675,0.2518375
27,4.753921,F6,P6_3,8,4000000,2000000,6000000,4753921,753921,0.3769605
28,5.004182,F11,P11_3,8,4000000,2000000,6000000,5004182,1004182,0.502091
29,5.254423,F13,P13_3,8,4000000,2000000,6000000,5254423,1254423,0.6272115
30,5.504706,F12,P12_6,8,5000000,1000000,6000000,5504706,504706,0.504706
31,6.004861,F12,P12_7,7,6000000,1000000,7000000,6004861,4861,0.004861
32,6.004909,F2,P2_2,2,4000000,4000000,8000000,6004909,2004909,0.50122725
33,6.130127,F1,P1_2,1,4000000,4000000,8000000,6130127,2130127,0.53253175
34,6.380366,F11,P11_4,4,6000000,2000000,8000000,6380366,380366,0.190183
35,6.63061,F13,P13_4,3,6000000,2000000,8000000,6630610,630610,0.315305
36,6.880854,F4,P4_4,6,6000000,2000000,8000000,6880854,880854,0.440427
37,7.131097,F12,P12_8,7,7000000,1000000,8000000,7131097,131097,0.131097
38,7.381336,F6,P6_4,5,6000000,2000000,8000000,7381336,1381336,0.690668
39,8.005339,F12,P12_9,8,8000000,1000000,9000000,8005339,5339,0.005339
40,8.505497,F11,P11_5,4,8000000,2000000,10000000,8505497,505497,0.2527485
41,8.755728,F4,P4_5,6,8000000,2000000,10000000,8755728,755728,0.377864
42,9.005984,F6,P6_5,5,8000000,2000000,10000000,9005984,1005984,0.502992
43,9.256309,F13,P13_5,3,8000000,2000000,10000000,9256309,1256309,0.6281545
44,9.50658,F14,P14_2,7,8000000,8000000,16000000,9506580,1506580,0.1883225
45,9.631829,F3,P3_2,1,8000000,8000000,16000000,9631829,1631829,0.203978625
46,9.756503,F12,P12_10,7,9000000,1000000,10000000,9756503,756503,0.756503
47,9.757205,F5,P5_2,5,8000000,8000000,16000000,9757205,1757205,0.219650625
48,10.006876,F12,P12_11,7,10000000,1000000,11000000,10006876,6876,0.006876
49,10.007582,F7,P7_2,4,8000000,8000000,16000000,10007582,2007582,0.25094775
50,10.257249,F9,P9_3,8,8000000,4000000,12000000,10257249,2257249,0.56431225
51,10.507487,F2,P2_3,8,8000000,4000000,12000000,10507487,2507487,0.62687175
52,10.632718,F4,P4_6,8,10000000,2000000,12000000,10632718,632718,0.316359
53,10.882957,F6,P6_6,8,10000000,2000000,12000000,10882957,882957,0.4414785
54,11.133201,F11,P11_6,8,10000000,2000000,12000000,11133201,1133201,0.5666005
55,11.507668,F13,P13_6,8,10000000,2000000,12000000,11507668,1507668,0.753834
56,11.757891,F12,P12_12,8,11000000,1000000,12000000,11757891,757891,0.757891
57,12.381897,F2,P2_4,2,12000000,4000000,16000000,12381897,381897,0.09547425
58,12.507135,F12,P12_13,7,12000000,1000000,13000000,12507135,507135,0.507135
59,12.757466,F11,P11_7,4,12000000,2000000,14000000,12757466,757466,0.378733
60,13.007723,F13,P13_7,3,12000000,2000000,14000000,13007723,1007723,0.5038615
61,13.257968,F1,P1_4,1,12000000,4000000,16000000,13257968,1257968,0.314492
62,13.258008,F12,P12_14,7,13000000,1000000,14000000,13258008,258008,0.258008
63,13.508238,F4,P4_7,6,12000000,2000000,14000000,13508238,1508238,0.754119
64,13.758486,F6,P6_7,5,12000000,2000000,14000000,13758486,1758486,0.879243
65,14.00877,F9,P9_4,6,12000000,4000000,16000000,14008770,2008770,0.5021925
66,14.259015,F4,P4_8,6,14000000,2000000,16000000,14259015,259015,0.1295075
67,14.509256,F11,P11_8,4,14000000,2000000,16000000,14509256,509256,0.254628
68,14.759501,F12,P12_15,8,14000000,1000000,15000000,14759501,759501,0.759501
69,15.259679,F6,P6_8,5,14000000,2000000,16000000,15259679,1259679,0.6298395
70,15.509946,F13,P13_8,3,14000000,2000000,16000000,15509946,1509946,0.754973
71,15.76018,F12,P12_16,7,15000000,1000000,16000000,15760180,760180,0.76018
72,16.01044,F12,P12_17,7,16000000,1000000,17000000,16010440,10440,0.01044
73,16.260681,F4,P4_9,8,16000000,2000000,18000000,16260681,260681,0.1303405
74,16.510908,F6,P6_9,8,16000000,2000000,18000000,16510908,510908,0.255454
75,16.761162,F11,P11_9,8,16000000,2000000,18000000,16761162,761162,0.380581
76,17.011424,F5,P5_3,8,16000000,8000000,24000000,17011424,1011424,0.126428
77,17.261689,F3,P3_3,8,16000000,8000000,24000000,17261689,1261689,0.157711125
78,17.386933,F14,P14_3,8,16000000,8000000,24000000,17386933,1386933,0.173366625
79,17.512164,F7,P7_3,8,16000000,8000000,24000000,17512164,1512164,0.1890205
80,17.574887,F12,P12_18,8,17000000,1000000,18000000,17574887,574887,0.574887
81,18.136012,F9,P9_5,6,16000000,4000000,20000000,18136012,2136012,0.534003
82,18.38628,F2,P2_5,2,16000000,4000000,20000000,18386280,2386280,0.59657
83,18.511525,F1,P1_5,1,16000000,4000000,20000000,18511525,2511525,0.62788125
84,18.511558,F12,P12_19,7,18000000,1000000,19000000,18511558,511558,0.511558
85,18.761784,F4,P4_10,6,18000000,2000000,20000000,18761784,761784,0.380892
86,18.824314,F10,P10_2,5,16000000,16000000,32000000,18824314,2824314,0.176519625
87,18.887049,F16,P16_2,4,16000000,16000000,32000000,18887049,2887049,0.180440563
88,19.012281,F11,P11_10,4,18000000,2000000,20000000,19012281,1012281,0.5061405
89,19.262501,F13,P13_10,3,18000000,2000000,20000000,19262501,1262501,0.6312505
90,19.512754,F6,P6_10,5,18000000,2000000,20000000,19512754,1512754,0.756377
91,19.763093,F12,P12_20,7,19000000,1000000,20000000,19763093,763093,0.763093
92,20.013351,F6,P6_11,5,20000000,2000000,22000000,20013351,13351,0.0066755
93,20.138519,F8,P8_2,2,16000000,16000000,32000000,20138519,4138519,0.258657438
94,20.263739,F12,P12_21,8,20000000,1000000,21000000,20263739,263739,0.263739
95,20.763881,F15,P15_2,1,16000000,16000000,32000000,20763881,4763881,0.297742563
96,20.763919,F4,P4_11,6,20000000,2000000,22000000,20763919,763919,0.3819595
97,21.014181,F11,P11_11,4,20000000,2000000,22000000,21014181,1014181,0.5070905
98,21.513962,F13,P13_11,3,20000000,2000000,22000000,21513962,1513962,0.756981
99,21.764198,F12,P12_22,7,21000000,1000000,22000000,21764198,764198,0.764198
100,22.014438,F12,P12_23,7,22000000,1000000,23000000,22014438,14438,0.014438
101,22.264685,F1,P1_6,8,20000000,4000000,24000000,22264685,2264685,0.56617125
102,22.514992,F9,P9_6,8,20000000,4000000,24000000,22514992,2514992,0.628748
103,22.76523,F2,P2_6,8,20000000,4000000,24000000,22765230,2765230,0.6913075
104,22.890486,F4,P4_12,8,22000000,2000000,24000000,22890486,890486,0.445243
105,23.140727,F11,P11_12,8,22000000,2000000,24000000,23140727,1140727,0.5703635
106,23.390973,F13,P13_12,8,22000000,2000000,24000000,23390973,1390973,0.6954865
107,23.641215,F12,P12_24,8,23000000,1000000,24000000,23641215,641215,0.641215
108,24.14137,F12,P12_25,7,24000000,1000000,25000000,24141370,141370,0.14137
109,24.391637,F14,P14_4,7,24000000,8000000,32000000,24391637,391637,0.048954625
110,24.516877,F2,P2_7,2,24000000,4000000,28000000,24516877,516877,0.12921925
111,24.642134,F4,P4_13,6,24000000,2000000,26000000,24642134,642134,0.321067
112,24.892391,F6,P6_13,5,24000000,2000000,26000000,24892391,892391,0.4461955
