No.,Time,Flow,Packet,Class,Arrival,Period,Deadline,Finish Time,Response Time,R/P
1,0,F7,P7_1,4,0,8000000,8000000,0,0,0.08
2,0.062764,F15,P15_1,7,0,16000000,16000000,62764,62764,0.00392275
3,0.125643,F14,P14_1,5,0,8000000,8000000,125643,125643,0.015705375
4,0.250887,F4,P4_1,2,0,2000000,2000000,250887,250887,0.1254435
5,0.50115,F11,P11_1,3,0,2000000,2000000,501150,501150,0.250575
6,0.751403,F2,P2_1,3,0,4000000,4000000,751403,751403,0.18785075
7,0.876645,F6,P6_1,8,0,2000000,2000000,876645,876645,0.4383225
8,1.126935,F1,P1_1,2,0,4000000,4000000,1126935,1126935,0.28173375
9,1.377159,F13,P13_1,1,0,2000000,2000000,1377159,1377159,0.6885795
10,1.627418,F3,P3_1,2,0,8000000,8000000,1627418,1627418,0.20342725
11,1.752664,F16,P16_1,2,0,16000000,16000000,1752664,1752664,0.1095415
12,1.877912,F12,P12_1,6,0,1000000,1000000,1877912,1877912,1.877912
13,2.002002,F4,P4_2,2,2000000,2000000,4000000,2002002,2002,0.001001
14,2.12831,F5,P5_1,6,0,8000000,8000000,2128310,2128310,0.26603875
15,2.378534,F12,P12_2,6,1000000,1000000,2000000,2378534,1378534,1.378534
16,2.378565,F9,P9_1,8,0,4000000,4000000,2378565,2378565,0.59464125
17,2.628806,F10,P10_1,5,0,16000000,16000000,2628806,2628806,0.164300375
18,2.628854,F6,P6_2,8,2000000,2000000,4000000,2628854,628854,0.314427
19,2.691568,F8,P8_1,4,0,16000000,16000000,2691568,2691568,0.168223
20,2.879193,F13,P13_2,1,2000000,2000000,4000000,2879193,879193,0.4395965
21,3.129451,F11,P11_2,3,2000000,2000000,4000000,3129451,1129451,0.5647255
22,3.379696,F12,P12_3,6,2000000,1000000,3000000,3379696,1379696,1.379696
23,3.629958,F12,P12_4,6,3000000,1000000,4000000,3629958,629958,0.629958
24,4.003381,F4,P4_3,2,4000000,2000000,6000000,4003381,3381,0.0016905
25,4.25361,F11,P11_3,3,4000000,2000000,6000000,4253610,253610,0.126805
26,4.503832,F2,P2_2,3,4000000,4000000,8000000,4503832,503832,0.125958
27,4.629076,F12,P12_5,6,4000000,1000000,5000000,4629076,629076,0.629076
28,4.879339,F13,P13_3,1,4000000,2000000,6000000,4879339,879339,0.4396695
29,5.129699,F6,P6_3,8,4000000,2000000,6000000,5129699,1129699,0.5648495
30,5.379939,F12,P12_6,6,5000000,1000000,6000000,5379939,379939,0.379939
31,5.379977,F9,P9_2,8,4000000,4000000,8000000,5379977,1379977,0.34499425
32,5.630219,F1,P1_2,2,4000000,4000000,8000000,5630219,1630219,0.40755475
