Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,1,0,50000,10000,20192,30192,30192,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F1,P1_2,1,50000,100000,10000,60576,70576,20576,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F1,P1_3,8,100000,150000,10000,100000,110000,10000,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F1,P1_4,1,150000,200000,10000,158384,168384,18384,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F1,P1_5,1,200000,250000,10000,210192,220192,20192,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F1,P1_6,8,250000,300000,10000,261808,271808,21808,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F2,P2_1,2,0,50000,10000,0,10000,10000,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F2,P2_2,2,50000,100000,10000,50480,60480,10480,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F2,P2_3,8,100000,150000,10000,110096,120096,20096,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F2,P2_4,2,150000,200000,10000,190000,200000,50000,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F2,P2_5,2,200000,250000,10000,200096,210096,10096,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F2,P2_6,8,250000,300000,10000,271904,281904,31904,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F3,P3_1,3,0,50000,10000,10096,20096,20096,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F3,P3_2,3,50000,100000,10000,70672,80672,30672,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F3,P3_3,8,100000,150000,10000,120192,130192,30192,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F3,P3_4,3,150000,200000,10000,168480,178480,28480,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F3,P3_5,3,200000,250000,10000,220288,230288,30288,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F3,P3_6,8,250000,300000,10000,282000,292000,42000,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F4,P4_1,4,0,100000,10000,30288,40288,40288,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F4,P4_2,4,100000,200000,10000,148288,158288,58288,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F4,P4_3,8,200000,300000,10000,241616,251616,51616,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F5,P5_1,5,0,100000,10000,40384,50384,50384,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F5,P5_2,5,100000,200000,10000,138192,148192,48192,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
F5,P5_3,8,200000,300000,10000,251712,261712,61712,Scheduled - Deadline Met,Yes,Yes,0.015888214111328125,0.00026480356852213543,2,8.0,Proven Optimal (Gap = 0%)
