Packet_ID,Flow,Queue,Arrival,Deadline,Execution_Time,Scheduled,Gate_Open,Gate_Close,Response_Time
P1_1,F1,1,0,50000,10000,True,0.0,10000.0,10000.0
P2_1,F2,2,0,50000,10000,True,10096.0,20096.0,20096.0
P3_1,F3,3,0,50000,10000,True,20192.0,30192.0,30192.0
P4_1,F4,4,0,100000,10000,True,30288.0,40288.0,40288.0
P5_1,F5,5,0,100000,10000,True,40384.0,50384.0,50384.0
P1_2,F1,1,50000,100000,10000,True,50480.0,60480.0,10480.0
P2_2,F2,2,50000,100000,10000,True,60576.0,70576.0,20576.0
P3_2,F3,3,50000,100000,10000,True,70672.0,80672.0,30672.0
P4_2,F4,4,100000,200000,10000,True,100000.0,110000.0,10000.0
P5_2,F5,5,100000,200000,10000,True,110096.0,120096.0,20096.0
P1_3,F1,8,100000,150000,10000,True,120192.0,130192.0,30192.0
P1_4,F1,1,150000,200000,10000,True,150000.0,160000.0,10000.0
P2_4,F2,2,150000,200000,10000,True,160096.0,170096.0,20096.0
P3_4,F3,3,150000,200000,10000,True,170192.0,180192.0,30192.0
P1_5,F1,1,200000,250000,10000,True,200000.0,210000.0,10000.0
P2_5,F2,2,200000,250000,10000,True,210096.0,220096.0,20096.0
P3_5,F3,3,200000,250000,10000,True,220192.0,230192.0,30192.0
P4_3,F4,8,200000,300000,10000,True,230288.0,240288.0,40288.0
P5_3,F5,8,200000,300000,10000,True,240384.0,250384.0,50384.0
P1_6,F1,8,250000,300000,10000,True,250480.0,260480.0,10480.0
P2_6,F2,8,250000,300000,10000,True,260576.0,270576.0,20576.0
P3_6,F3,8,250000,300000,10000,True,270672.0,280672.0,30672.0
P2_3,F2,8,100000,150000,10000,False,,,
P3_3,F3,8,100000,150000,10000,False,,,
